mol solvent,mol solute,with_sme,without_sme,attribution_data,normalized_attribution_data,substructure_smiles
CCCCCCCCCCO  ,OCC,-4.319112616,-4.428695494,-0.1095829,-0.10914635,C
CCCCCCCCCCO  ,OCC,-4.368294796,-4.428695494,-0.060400963,-0.060327627,C
CCCCCCCCCCO  ,OCC,-4.3476817,-4.428695494,-0.08101416,-0.08083736,C
CCCCCCCCCCO  ,OCC,-4.324293972,-4.428695494,-0.10440159,-0.10402391,C
CCCCCCCCCCO  ,OCC,-4.332671784,-4.428695494,-0.09602404,-0.09572996,C
CCCCCCCCCCO  ,OCC,-4.308092852,-4.428695494,-0.12060261,-0.12002124,C
CCCCCCCCCCO  ,OCC,-4.33141424,-4.428695494,-0.097281456,-0.09697576,C
CCCCCCCCCCO  ,OCC,-4.278705228,-4.428695494,-0.14999056,-0.1488758,C
CCCCCCCCCCO  ,OCC,-4.218073267,-4.428695494,-0.21062231,-0.20756206,C
CCCCCCCCCCO  ,OCC,-4.460499886,-4.428695494,0.031804085,0.031793367,O
CCCCCCCCCCO  ,OCC,-3.355010639,-4.428695494,-1.0736849,-0.7908455,CCCCCCCCCCO
CCCCCCCCC(=O)O,OCC,-4.105228122,-4.202443036,-0.097215176,-0.09691009,C
CCCCCCCCC(=O)O,OCC,-4.142339941,-4.202443036,-0.060103416,-0.060031164,C
CCCCCCCCC(=O)O,OCC,-4.162953037,-4.202443036,-0.039490223,-0.039469723,C
CCCCCCCCC(=O)O,OCC,-4.124989376,-4.202443036,-0.07745361,-0.077299096,C
CCCCCCCCC(=O)O,OCC,-4.214678321,-4.202443036,0.012235165,0.012234517,C
CCCCCCCCC(=O)O,OCC,-4.073330167,-4.202443036,-0.12911272,-0.12840003,C
CCCCCCCCC(=O)O,OCC,-4.101469498,-4.202443036,-0.100973606,-0.100631826,C
CCCCCCCCC(=O)O,OCC,-4.042387397,-4.202443036,-0.16005564,-0.15870273,C
CCCCCCCCC(=O)O,OCC,-4.017813751,-4.202443036,-0.18462944,-0.18255976,C
CCCCCCCCC(=O)O,OCC,-4.165529443,-4.202443036,-0.03691387,-0.036897104,O
CCCCCCCCC(=O)O,OCC,-4.225731387,-4.202443036,0.02328825,0.023284081,O
